date;TRIL;CSGS;BSET;FNHC;ADES;TRIB;OPOF;BLDR;IPAR;SBAC;ULBI;BCML;DOX;SNPS;BKYI
2005-03-23;8.49;13.74856595;9.443005464;9.543525608;8.814305512;9.568137067;17.51417513;;8.022172346;8.765301878;17.22;11.25;24.58073819;18.03;31.44
2005-03-24;9.42;13.8001876;9.267298292;9.255885081;9.487673058;9.530318343;17.65194642;;7.762050026;9.053503414;16.75;11.25;24.83808165;17.98;30.48
2005-03-28;9.42;13.91203451;9.563490382;9.156445548;9.949194634;9.454680896;17.74838633;;7.678810884;8.89449567;17.54;11.5;25.22853381;18.12;29.52
2005-03-29;9.42;13.81739482;9.538389358;8.962905518;9.063981119;9.530318343;18.61634545;;7.533142385;8.854743734;16.905;11.5;24.62510775;18.15;30.48
2005-03-30;9.42;14.17874636;9.929965342;8.916856339;8.984538881;9.454680896;18.65652874;;7.56444353;8.735487926;17.52;11.5;25.37939033;18.31;30
2005-03-31;9.3;14.01527781;9.889803702;9.036317254;9.060198156;9.60595579;18.2374744;;7.512274954;9.083317365;17.12;12.19;25.20191208;18.1;30.24
2005-04-01;9.6;13.80879121;9.72413694;9.009622077;9.082895938;9.341224725;18.2374744;;7.30360065;8.814991798;17.125;12.2;25.13092077;18.1;30
2005-04-04;9.6;14.04108863;9.990207801;8.742670312;9.037500373;9.265587278;18.2374744;;7.28273322;8.665922038;17.46;12.2;24.93569469;18.02;29.28
2005-04-05;9.6;13.93784533;10.34162215;9.109728989;9.079112974;9.038674937;18.37524569;;7.277516362;8.824929782;17.66;12.4;25.7787164;17.19;31.2
2005-04-06;9.6;14.02388141;10.55749096;9.083033813;9.079112974;9.114312384;18.01933653;;6.948854333;9.033627446;17.56;12;25.69885119;17.19;30.48
2005-04-07;9.6;14.15293554;10.24623825;9.183140724;9.079112974;9.114312384;18.01933653;;6.844517181;8.934247606;17.88;12.4;26.48862942;17.52;30.96
2005-04-08;9.6;14.16153915;10.01530883;9.136424166;9.268261161;8.54703153;18.01933653;;7.360986084;9.013751478;17.35;12;26.13367291;17.17;30.72
2005-04-11;9.6;14.16153915;10.04040985;9.082366433;9.018585554;7.941931953;17.54287749;;7.496624381;9.063441398;17.43;12;26.42651203;17.28;30.72
2005-04-12;9.6;14.25617884;10.06551087;8.996274489;8.492753595;8.131025571;17.42806808;;7.621828964;8.954123574;17.52;11.75;26.45313377;17.18;30.96
2005-04-13;9.6;14.23897162;9.965106776;9.17646693;8.004751272;8.131025571;17.50843466;;7.627045822;8.94418559;16.5;11.75;26.85245984;17.23;30.96
2005-04-14;9.6;14.10131389;9.864702678;9.17646693;7.944223852;8.093206847;17.22141115;;7.642696394;8.94418559;15.33;11.75;26.03605987;16.85;30.72
2005-04-15;9.6;13.81739482;9.955066366;8.809408253;7.104405902;8.206663018;17.22141115;;7.5435761;8.576480182;15;11.75;25.51249902;16.92;27.6
2005-04-18;7.8;13.73135873;10.0956321;9.243204872;7.17249925;7.790657058;17.2099302;;7.65313011;8.631139094;15.42;12;25.02443382;16.68;32.16
2005-04-19;7.8;13.78298038;10.0906119;8.982926901;6.828249549;7.941931953;17.2099302;;7.616612106;8.467162358;15.84;12;25.7077251;16.91;32.88
2005-04-20;7.8;13.65392626;9.859682473;8.862798606;6.858513259;7.941931953;17.2099302;;7.898322417;8.606294134;15.11;12;25.60123815;16.67;31.2
2005-04-21;7.8;14.04969224;10.02032903;8.942884136;6.979568099;7.979750676;17.10660174;;7.955707851;8.924309622;16.15;11.99;24.32339472;17.01;31.2
2005-04-22;7.8;13.75716956;9.759278374;9.343311784;6.96065328;7.979750676;17.10660174;;7.78355155;8.715611958;16.28;12;23.84420343;16.97;30.72
2005-04-25;7.8;14.03248502;9.879763293;9.376680754;6.866079187;7.828475782;17.50843466;;7.945274136;8.973999542;17.02;12;24.37663819;17.1;29.52
2005-04-26;7.8;13.66252987;9.839601653;9.843846343;6.612620616;7.866294505;17.45677043;;7.595744676;8.69573599;16.11;12;24.09267299;16.62;28.8
